Data publisher,Dataset,Scientific name,Rank,Author,Specific epithet,Kingdom,Phylum,Class,Order,Family,Genus,Species,GBIF ID,Accepted,Taxonomy tree url,Taxon page url
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Campylodon,genus,,,Animalia,Chordata,Actinopterygii,Notacanthiformes,Notacanthidae,Campylodon,,11418239,N,http://data.gbif.org/species/browse/taxon/11418239,http://data.gbif.org/species/11418239
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Campylomormyrus,genus,,,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Campylomormyrus,,11333074,Y,http://data.gbif.org/species/browse/taxon/11333074,http://data.gbif.org/species/11333074
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Campylomornyrus,genus,,,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Campylomornyrus,,11413757,N,http://data.gbif.org/species/browse/taxon/11413757,http://data.gbif.org/species/11413757
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Cancelloxus,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,Cancelloxus,,11415417,Y,http://data.gbif.org/species/browse/taxon/11415417,http://data.gbif.org/species/11415417
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Candidia,genus,,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Candidia,,11413073,Y,http://data.gbif.org/species/browse/taxon/11413073,http://data.gbif.org/species/11413073
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Caneolepis,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Zoarcidae,Caneolepis,,11446437,N,http://data.gbif.org/species/browse/taxon/11446437,http://data.gbif.org/species/11446437
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Cantharines,genus,,,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Cantharines,,11414862,N,http://data.gbif.org/species/browse/taxon/11414862,http://data.gbif.org/species/11414862
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Cantharus,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Lethrinidae,Cantharus,,11413360,N,http://data.gbif.org/species/browse/taxon/11413360,http://data.gbif.org/species/11413360
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Cantharus,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Cantharus,,11414035,N,http://data.gbif.org/species/browse/taxon/11414035,http://data.gbif.org/species/11414035
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Cantharus,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Cantharus,,11417114,N,http://data.gbif.org/species/browse/taxon/11417114,http://data.gbif.org/species/11417114
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Cantharus,genus,,,Animalia,Chordata,Actinopterygii,Perciformes,Nemipteridae,Cantharus,,11418591,N,http://data.gbif.org/species/browse/taxon/11418591,http://data.gbif.org/species/11418591
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Canthenrines,genus,,,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Canthenrines,,11417874,N,http://data.gbif.org/species/browse/taxon/11417874,http://data.gbif.org/species/11417874
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Cantherhines,genus,,,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Cantherhines,,11332650,Y,http://data.gbif.org/species/browse/taxon/11332650,http://data.gbif.org/species/11332650
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Cantherines,genus,,,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Cantherines,,11333477,N,http://data.gbif.org/species/browse/taxon/11333477,http://data.gbif.org/species/11333477
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Cantherinus,genus,,,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Cantherinus,,11413805,N,http://data.gbif.org/species/browse/taxon/11413805,http://data.gbif.org/species/11413805
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Cantheschenia,genus,,,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Cantheschenia,,11412175,Y,http://data.gbif.org/species/browse/taxon/11412175,http://data.gbif.org/species/11412175
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Canthidermis,genus,,,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Canthidermis,,11333472,Y,http://data.gbif.org/species/browse/taxon/11333472,http://data.gbif.org/species/11333472
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Canthigaster,genus,,,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Canthigaster,,11333307,Y,http://data.gbif.org/species/browse/taxon/11333307,http://data.gbif.org/species/11333307
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Canthogaster,genus,,,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Canthogaster,,11419097,N,http://data.gbif.org/species/browse/taxon/11419097,http://data.gbif.org/species/11419097
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Canthophrys,genus,,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Canthophrys,,11412558,N,http://data.gbif.org/species/browse/taxon/11412558,http://data.gbif.org/species/11412558
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Canthopomus,genus,,,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Canthopomus,,11415684,N,http://data.gbif.org/species/browse/taxon/11415684,http://data.gbif.org/species/11415684
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Capartella,genus,,,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,Capartella,,11417217,N,http://data.gbif.org/species/browse/taxon/11417217,http://data.gbif.org/species/11417217
Catalogue of Life: 2007 Annual Checklist,"Species 2000 & ITIS Catalogue of Life Hierarchy, Edition 1 (2007)",Capoeta,genus,,,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Capoeta,,11333780,Y,http://data.gbif.org/species/browse/taxon/11333780,http://data.gbif.org/species/11333780
