Scientific name	Epithet	Kingdom	Phylum	Class	Order	Family	Genus	Species
Dasyatis americana	americana	Animalia	Chordata	Elasmobranchii	Rajiformes	Dasyatidae	Dasyatis	Dasyatis americana
Breviraja sinus-mexicanus	sinus-mexicanus	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Breviraja	Breviraja sinus-mexicanus
Mustelus canis	canis	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis
Pristis pectinata	pectinata	Animalia	Chordata	Elasmobranchii	Pristiformes	Pristidae	Pristis	Pristis pectinata
Sphyrna tiburo	tiburo	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Sphyrnidae	Sphyrna	Sphyrna tiburo
Rajiformes								
Squatina dumeril	dumeril	Animalia	Chordata	Elasmobranchii	Squatiniformes	Squatinidae	Squatina	Squatina dumeril
Carcharhinus limbatus	limbatus	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus limbatus
Heptranchias perlo	perlo	Animalia	Chordata	Elasmobranchii	Hexanchiformes	Hexanchidae	Heptranchias	Heptranchias perlo
Cirrhigaleus asper	asper	Animalia	Chordata	Elasmobranchii	Squaliformes	Squalidae	Cirrhigaleus	Cirrhigaleus asper
Prionace glauca	glauca	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Prionace	Prionace glauca
Pteroplatytrygon violacea	violacea	Animalia	Chordata	Elasmobranchii	Rajiformes	Dasyatidae	Pteroplatytrygon	Pteroplatytrygon violacea
Squalus blainville	blainville	Animalia	Chordata	Elasmobranchii	Squaliformes	Squalidae	Squalus	Squalus blainville
Squalus asper	asper	Animalia	Chordata	Elasmobranchii	Squaliformes	Squalidae	Cirrhigaleus	Cirrhigaleus asper
Anacanthobatis longirostris	longirostris	Animalia	Chordata	Elasmobranchii	Rajiformes	Anacanthobatidae	Anacanthobatis	Anacanthobatis longirostris
Raja fuliginea	fuliginea	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Rajella	Rajella fuliginea
Apristurus atlanticus	atlanticus	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Scyliorhinidae	Apristurus	Apristurus atlanticus
Dipturus								
Squatina dumerili	dumerili	Animalia	Chordata	Elasmobranchii	Squatiniformes	Squatinidae	Squatina	Squatina dumerili
Raja clarkii	clarkii	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Dactylobatus	Dactylobatus clarkii
Rajella fulginea	fulginea	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Rajella	Rajella fulginea
Rajella purpurventralis	purpurventralis	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Rajella	Rajella purpurventralis
Raja purpuri-ventris	purpuri-ventris	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Raja	Raja purpuri-ventris
Isurus oxyrinchus	oxyrinchus	Animalia	Chordata	Elasmobranchii	Lamniformes	Lamnidae	Isurus	Isurus oxyrinchus
Malacoraja purpuriventralis	purpuriventralis	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Malacoraja	Malacoraja purpuriventralis
Raja purpuriventralis	purpuriventralis	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Rajella	Rajella purpuriventralis
Squalus fernandinus	fernandinus	Animalia	Chordata	Elasmobranchii	Squaliformes	Squalidae	Squalus	Squalus acanthias
Etmopterus		Animalia	Chordata	Elasmobranchii	Squaliformes	Etmopteridae	Etmopterus	
