Scientific name	Epithet	Kingdom	Phylum	Class	Order	Family	Genus	Species
Nitzschia sicula	sicula	Plantae	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	Nitzschia sicula
Nitzschia bicapitata	bicapitata	Plantae	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	Nitzschia bicapitata
Thalassionema frauenfeldii	frauenfeldii	Plantae	Bacillariophyta	Bacillariophyceae	Thalassionematales	Thalassionemataceae	Thalassionema	Thalassionema frauenfeldii
Pyrocystis fusiformis	fusiformis	Protozoa	Dinophyta	Dinophyceae	Pyrocystales	Pyrocystaceae	Pyrocystis	Pyrocystis fusiformis
Hemiaulus sinensis	sinensis	Chromista	Ochrophyta	Coscinodiscophyceae	Hemiaulales	Hemiaulaceae	Hemiaulus	Hemiaulus sinensis
Ceratium tenue	tenue	Protozoa	Dinophyta	Dinophyceae	Peridiniales	Ceratiaceae	Ceratium	Ceratium horridum
Prionotus paralatus	paralatus	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Triglidae	Prionotus	Prionotus paralatus
Aldrovandia affinis	affinis	Animalia	Chordata	Actinopterygii	Notacanthiformes	Halosauridae	Aldrovandia	Aldrovandia affinis
Rhinochimaera atlantica	atlantica	Animalia	Chordata	Holocephali	Chimaeriformes	Rhinochimaeridae	Rhinochimaera	Rhinochimaera atlantica
Apristurus parvipinnis	parvipinnis	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Scyliorhinidae	Apristurus	Apristurus parvipinnis
Bembrops anatirostris	anatirostris	Animalia	Chordata	Actinopterygii	Perciformes	Percophidae	Bembrops	Bembrops anatirostris
Aldrovandia gracilis	gracilis	Animalia	Chordata	Actinopterygii	Notacanthiformes	Halosauridae	Aldrovandia	Aldrovandia gracilis
Apristurus riveri	riveri	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Scyliorhinidae	Apristurus	Apristurus riveri
